id,category,type,path,name,references,severity,notes
1,auth,file,src/routes/idcard.ts,AuthRequest interface,"Used in 7 endpoints",major,Interface named AuthRequest but no actual auth logic
2,auth,symbol,src/routes/idcard.ts,AuthRequest,"7 function signatures",major,Misleading name - should be renamed or removed
3,auth,file,src/posts/controllers/post.controller.ts,@UseGuards import,"Imported but commented out",minor,Dead import - @UseGuards never used
4,auth,symbol,src/posts/controllers/post.controller.ts,"// @UseGuards(AuthGuard)","3 commented decorators",minor,Commented-out auth guards - indicates removed functionality
5,auth,config,src/middleware/logging.ts,authorization header redaction,"PII redaction list",minor,Header redaction without auth system
6,college,file,src/routes/idcard.ts,ID card verification routes,"4 endpoints",blocker,Entire ID card upload/verification system
7,college,symbol,src/routes/idcard.ts,collegeName,"40+ references",blocker,College name field in User model and validation
8,college,symbol,src/routes/idcard.ts,studentIdNumber,"40+ references",blocker,Student ID field throughout codebase
9,college,route,/api/idcard/upload,ID card upload endpoint,1 route,blocker,Upload college ID card images
10,college,route,/api/idcard/status,Check verification status,1 route,blocker,Check ID verification status
11,college,route,/api/idcard/verify,Verify ID card,1 route,blocker,Manual verification endpoint
12,college,route,/api/idcard/admin/pending,Admin pending verifications,1 route,blocker,Admin endpoint for pending IDs
13,college,route,/api/idcard/admin/verify,Admin verify endpoint,1 route,blocker,Admin approval endpoint
14,college,schema,prisma/schema.prisma,verifiedCollegeId field,User model,blocker,College verification field in User
15,college,schema,prisma/schema.prisma,collegeName field,User model,blocker,College name in User model
16,college,schema,prisma/schema.prisma,studentIdNumber field,User model,blocker,Student ID in User model
17,college,file,src/idcard/idcard.controller.ts,IdCardController,Module,blocker,NestJS controller for ID verification
18,college,file,src/idcard/idcard.service.ts,IdCardService,Module,blocker,Business logic for ID verification
19,college,file,src/idcard/idcard.repository.ts,IdCardRepository,Module,blocker,Data access for ID cards
20,college,file,src/idcard/idcard.module.ts,IdCardModule,Module,blocker,NestJS module declaration
21,college,file,src/idcard/dtos/verify-idcard.dto.ts,VerifyIdCardDto,DTOs,blocker,Data transfer objects for verification
22,college,file,src/idcard/idcard.controller.js,Legacy JS controller,Module,blocker,JavaScript version of controller
23,college,file,src/idcard/idcard.service.js,Legacy JS service,Module,blocker,JavaScript version of service
24,college,file,src/idcard/idcard.repository.js,Legacy JS repository,Module,blocker,JavaScript version of repository
25,college,file,src/idcard/idcard.module.js,Legacy JS module,Module,blocker,JavaScript version of module
26,college,symbol,src/upload/upload.service.ts,extractStudentInfo,"OCR extraction logic",blocker,Extracts student name and college from images
27,college,symbol,src/upload/upload.service.ts,calculateConfidence,"Confidence scoring",blocker,Validates extracted college data
28,college,symbol,src/idcard/idcard.service.ts,fuzzyMatch,"String matching for verification",blocker,Matches extracted vs manual college data
29,college,symbol,src/middleware/validation.ts,validateIdCardUpload,Validation middleware,blocker,Validates college name and student ID
30,college,env,process.env,COLLEGE_*,Environment config,major,Potential college-related env vars (not found)
31,college,doc,README.md,"College ID Signup API",Title and description,blocker,Repository named for college domain
32,college,doc,README.md,"College Verification section",Feature documentation,blocker,Documents ID card verification feature
33,college,doc,src/app.ts,"College ID Signup API",Startup banner,major,Server startup message references college
34,college,doc,src/app.ts,"College Social Platform API",Startup banner,blocker,Platform described as college-specific
35,college,symbol,src/infra/prisma/mock-prisma-client.ts,verifiedCollegeId mock field,Mock data,blocker,Mock Prisma client includes college fields
36,college,symbol,src/infra/prisma/mock-prisma-client.ts,collegeName mock field,Mock data,blocker,Mock User model with college name
37,college,symbol,src/infra/prisma/mock-prisma-client.ts,studentIdNumber mock field,Mock data,blocker,Mock User model with student ID
